,user_id,tariff_plan,date_start
385,166388,C,2019-08-01
386,167933,C,2019-10-07
387,168466,C,2019-10-28
388,167721,C,2019-09-26
389,167473,C,2019-09-18
390,167568,C,2019-09-20
391,167440,C,2019-09-17
392,168366,C,2019-10-23
393,168119,C,2019-10-14
394,168093,C,2019-10-14
395,167994,C,2019-10-09
396,167905,C,2019-10-04
397,167690,C,2019-09-25
398,167301,C,2019-09-11
399,166773,C,2019-08-19
400,167553,C,2019-09-20
401,167704,C,2019-09-26
402,167213,C,2019-09-06
403,167273,C,2019-09-10
404,167025,C,2019-08-28
405,166761,C,2019-08-19
406,166692,C,2019-08-15
407,166644,C,2019-08-13
408,166655,C,2019-08-13
409,166391,C,2019-08-01
410,168488,C,2019-10-28
411,167837,C,2019-10-02
412,167112,C,2019-09-02
413,167613,C,2019-09-23
414,167220,C,2019-09-06
415,167042,C,2019-08-29
416,166652,C,2019-08-13
417,166424,C,2019-08-02
418,166376,C,2019-08-01
419,167407,C,2019-09-16
420,167507,C,2019-09-18
421,167510,C,2019-09-19
422,167282,C,2019-09-10
423,167244,C,2019-09-09
424,168013,C,2019-10-09
425,168077,C,2019-10-11
426,167227,C,2019-09-06
427,167053,C,2019-08-29
428,167011,C,2019-08-28
429,167759,C,2019-09-27
430,166900,C,2019-08-23
431,167446,C,2019-09-17
432,167318,C,2019-09-11
433,167245,C,2019-09-09
434,166902,C,2019-08-23
435,166469,C,2019-08-05
436,166505,C,2019-08-06
437,166965,C,2019-08-27
438,166584,C,2019-08-09
439,166490,C,2019-08-06
440,166545,C,2019-08-08
441,166412,C,2019-08-02
442,167830,C,2019-10-02
443,167647,C,2019-09-24
444,167189,C,2019-09-05
445,167125,C,2019-09-03
446,166507,C,2019-08-06
447,166666,C,2019-08-14
448,166936,C,2019-08-26
449,166390,C,2019-08-01
450,166727,C,2019-08-16
451,167819,C,2019-10-01
452,166398,C,2019-08-01
453,166579,C,2019-08-09
454,166693,C,2019-08-15
455,166399,C,2019-08-01
456,166957,C,2019-08-26
457,167474,C,2019-09-18
458,166375,C,2019-08-01
459,167645,C,2019-09-24
460,167051,C,2019-08-29
461,167160,C,2019-09-04
462,167144,C,2019-09-04
463,167129,C,2019-09-03
464,167113,C,2019-09-02
465,167663,C,2019-09-24
466,166946,C,2019-08-26
467,166908,C,2019-08-23
468,166955,C,2019-08-26
469,166993,C,2019-08-28
470,166842,C,2019-08-21
471,167263,B,2019-09-10
472,167657,B,2019-09-24
473,167061,B,2019-08-29
474,168103,B,2019-10-14
475,167122,B,2019-09-02
476,168106,B,2019-10-14
477,167652,B,2019-09-24
478,167840,B,2019-10-02
479,168047,B,2019-10-10
480,167250,B,2019-09-09
481,168237,B,2019-10-17
482,168500,B,2019-10-28
483,167095,B,2019-08-31
484,167077,B,2019-08-30
485,167929,B,2019-10-07
486,168212,B,2019-10-17
487,167972,B,2019-10-08
488,166406,B,2019-08-02
489,167908,B,2019-10-04
490,166678,B,2019-08-14
491,168567,B,2019-10-30
492,166405,B,2019-08-02
493,166785,B,2019-08-19
494,168291,B,2019-10-21
495,168550,B,2019-10-30
496,167419,B,2019-09-16
497,168526,B,2019-10-29
498,168329,B,2019-10-22
499,168078,B,2019-10-11
500,168490,B,2019-10-28
501,168417,B,2019-10-24
502,167969,B,2019-10-08
503,167479,B,2019-09-18
504,168562,B,2019-10-30
505,168243,B,2019-10-17
506,168222,B,2019-10-17
507,166495,B,2019-08-06
508,168000,B,2019-10-09
509,167375,B,2019-09-13
510,166591,B,2019-08-09
511,168173,B,2019-10-15
512,168513,B,2019-10-29
513,168603,B,2019-10-31
514,168091,B,2019-10-14
515,166654,B,2019-08-13
516,168574,B,2019-10-31
517,168549,B,2019-10-30
518,168481,B,2019-10-28
519,168452,B,2019-10-25
520,168499,B,2019-10-28
521,167959,B,2019-10-08
522,168542,B,2019-10-30
523,168225,B,2019-10-17
524,167036,B,2019-08-29
525,168579,B,2019-10-31
526,168558,B,2019-10-30
527,168180,B,2019-10-16
528,168349,B,2019-10-22
529,168583,B,2019-10-31
530,167480,B,2019-09-18
531,168315,B,2019-10-21
532,166942,B,2019-08-26
533,167451,B,2019-09-17
534,168334,B,2019-10-22
535,168322,B,2019-10-22
536,168479,B,2019-10-28
537,168302,B,2019-10-21
538,168377,B,2019-10-23
539,168376,B,2019-10-23
540,168378,B,2019-10-23
541,167402,B,2019-09-16
542,168352,B,2019-10-23
543,168379,B,2019-10-23
544,168018,B,2019-10-09
545,166503,B,2019-08-06
546,168167,B,2019-10-15
547,167310,B,2019-09-11
548,168209,B,2019-10-16
549,167977,B,2019-10-08
550,168099,B,2019-10-14
551,168309,B,2019-10-21
552,168262,B,2019-10-18
553,167955,B,2019-10-07
554,168066,B,2019-10-11
555,168154,B,2019-10-15
556,168021,B,2019-10-09
557,167621,B,2019-09-23
558,167317,B,2019-09-11
559,167874,B,2019-10-03
560,168149,B,2019-10-15
561,168105,B,2019-10-14
562,168041,B,2019-10-10
563,167580,B,2019-09-20
564,167989,B,2019-10-08
565,167851,B,2019-10-02
566,168015,B,2019-10-09
567,167995,B,2019-10-09
568,167999,B,2019-10-09
569,167947,B,2019-10-07
570,167299,B,2019-09-11
